Time,SatTemp:,SatHumidity:,SatPressure:,SatAccel:,SatGpsNr:,SatLat:,SatLon:,SatGPSAlt:,PacketRssi:,BaseTemp:,BaseHumidity:,BasePressure:,TrackAltAngle:,TrackAziAngle,BaseGpsNr:,BaseLat:,BaseLon:,BaseGPSAlt:
37986,25.6,37.7,973.318,10.151,12.0,48.3991,13.45267,340.9,-110.0,22.8,37.6,974.378,-135.0,0.0,8.0,48.40145,13.44933,321.0
37987,25.7,37.7,973.311,10.155,12.0,48.3991,13.45267,340.9,-111.0,22.8,37.6,974.366,-135.0,0.0,8.0,48.40145,13.44933,321.0
37987,25.7,37.7,973.32,10.176,12.0,48.3991,13.45267,340.9,-111.0,22.7,37.6,974.366,-135.0,0.0,8.0,48.40145,13.44933,321.0
37987,25.6,37.7,973.287,10.114,12.0,48.3991,13.45267,340.9,-111.0,22.7,37.7,974.375,-135.0,0.0,9.0,48.40145,13.44934,321.1
37988,25.7,37.7,973.303,10.161,12.0,48.3991,13.45267,340.9,-109.0,22.8,37.7,974.358,-135.0,0.0,9.0,48.40145,13.44934,321.1
37988,25.7,37.7,973.294,10.161,12.0,48.3991,13.45267,340.9,-106.0,22.8,37.6,974.389,-135.0,0.0,9.0,48.40145,13.44934,321.1
37988,25.7,37.7,973.289,10.169,12.0,48.3991,13.45267,341.0,-111.0,22.8,37.6,974.4,-135.0,0.0,9.0,48.40146,13.44934,320.8
37989,25.6,37.7,973.294,10.141,12.0,48.3991,13.45267,341.0,-111.0,22.8,37.7,974.324,-135.0,0.0,9.0,48.40146,13.44934,320.8
37989,25.7,37.7,973.278,10.169,12.0,48.3991,13.45267,341.0,-107.0,22.8,37.7,974.391,-135.0,0.0,9.0,48.40146,13.44934,320.8
37989,25.7,37.7,973.301,10.133,12.0,48.3991,13.45267,341.1,-111.0,22.7,37.8,974.392,-135.0,0.0,9.0,48.40146,13.44934,320.5
37990,25.7,37.7,973.29,10.169,12.0,48.3991,13.45267,341.1,-111.0,22.7,37.9,974.357,-135.0,0.0,9.0,48.40146,13.44934,320.5
37990,25.7,37.7,973.295,10.155,12.0,48.3991,13.45267,341.1,-106.0,22.8,37.9,974.358,-135.0,0.0,9.0,48.40146,13.44934,320.5
37990,25.7,37.7,973.293,10.206,12.0,48.3991,13.45267,341.3,-107.0,22.8,38.0,974.336,-135.0,0.0,9.0,48.40146,13.44935,320.4
37991,25.7,37.7,973.292,10.141,12.0,48.3991,13.45267,341.3,-111.0,22.8,38.1,974.26,-135.0,0.0,9.0,48.40146,13.44935,320.4
37991,25.7,37.7,973.313,10.119,12.0,48.3991,13.45267,341.3,-125.0,22.8,38.2,974.334,-135.0,0.0,9.0,48.40146,13.44935,320.4
37991,25.7,37.7,973.304,10.164,12.0,48.3991,13.45267,341.3,-122.0,22.8,38.3,974.374,-135.0,0.0,9.0,48.40145,13.44934,320.7
37992,25.7,37.7,973.318,10.141,12.0,48.3991,13.45267,341.3,-121.0,22.9,38.3,974.388,-135.0,0.0,9.0,48.40145,13.44934,320.7
37992,25.7,37.7,973.245,10.077,12.0,48.3991,13.45267,341.3,-121.0,23.0,38.3,974.363,-135.0,0.0,9.0,48.40145,13.44934,320.7
37992,25.7,37.7,966.85,10.24,12.0,48.3991,13.45267,341.6,-121.0,23.0,38.4,974.355,-135.0,0.0,8.0,48.40146,13.44934,320.6
37993,25.7,37.7,967.437,10.147,12.0,48.3991,13.45267,341.6,-118.0,23.0,38.5,974.396,-135.0,0.0,8.0,48.40146,13.44934,320.6
37993,25.7,37.7,970.074,10.188,12.0,48.3991,13.45267,341.6,-117.0,23.0,38.5,974.38,-135.0,0.0,8.0,48.40146,13.44934,320.6
37993,25.7,37.7,969.677,10.229,12.0,48.3991,13.45267,341.6,-116.0,23.0,38.5,974.409,-135.0,0.0,7.0,48.40146,13.44934,320.4
37994,25.7,37.7,968.886,10.285,12.0,48.3991,13.45267,341.6,-116.0,23.0,38.3,974.378,-135.0,0.0,7.0,48.40146,13.44934,320.4
37994,25.7,37.7,972.922,10.163,12.0,48.3991,13.45267,341.6,-115.0,23.1,38.3,974.371,-135.0,0.0,7.0,48.40146,13.44934,320.4
37994,25.7,37.7,973.584,10.181,12.0,48.3991,13.45267,341.6,-117.0,23.1,38.4,974.4,-135.0,0.0,6.0,48.40146,13.44934,320.8
37995,25.7,37.8,975.595,10.205,12.0,48.3991,13.45267,341.6,-123.0,23.1,38.4,974.395,-135.0,0.0,6.0,48.40146,13.44934,320.8
37995,25.7,37.8,975.457,10.178,12.0,48.3991,13.45267,341.6,-116.0,23.1,38.5,974.375,-135.0,0.0,6.0,48.40146,13.44934,320.8
37995,25.7,37.8,980.313,10.125,12.0,48.3991,13.45267,341.8,-112.0,23.1,38.5,974.379,-135.0,0.0,7.0,48.40147,13.44933,321.1
37996,25.7,37.8,977.669,10.098,12.0,48.3991,13.45267,341.8,-109.0,23.1,38.6,974.346,-135.0,0.0,7.0,48.40147,13.44933,321.1
37996,25.7,37.8,973.8,10.105,12.0,48.3991,13.45267,341.8,-107.0,23.1,38.4,974.399,-135.0,0.0,7.0,48.40147,13.44933,321.1
37996,25.7,37.8,973.329,10.111,12.0,48.3991,13.45267,341.8,-111.0,23.1,38.2,974.405,-135.0,0.0,7.0,48.40148,13.44932,321.3
37997,25.7,37.8,973.29,10.124,12.0,48.3991,13.45267,341.8,-112.0,23.1,37.9,974.41,-135.0,0.0,7.0,48.40148,13.44932,321.3
37997,25.7,37.8,973.267,10.111,12.0,48.3991,13.45267,341.8,-111.0,23.1,37.9,974.367,-135.0,0.0,7.0,48.40148,13.44932,321.3
37997,25.7,37.8,973.305,10.085,12.0,48.3991,13.45267,341.9,-111.0,23.1,37.8,974.384,-135.0,0.0,7.0,48.40149,13.44931,321.6
37998,25.7,37.8,973.349,10.151,12.0,48.3991,13.45267,341.9,-109.0,23.1,37.8,974.352,-135.0,0.0,7.0,48.40149,13.44931,321.6
37998,25.7,37.8,973.315,10.134,12.0,48.3991,13.45267,341.9,-108.0,23.2,37.9,974.382,-135.0,0.0,7.0,48.40149,13.44931,321.6
37998,25.7,37.8,973.289,10.117,12.0,48.3991,13.45267,342.2,-110.0,23.2,37.9,974.341,-135.0,0.0,7.0,48.4015,13.44931,321.3
